Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					deliveryCapacity		Quantity	0..1	The number of units included in the transaction for each delivery interval	common_domain_model:deliveryCapacity
					commodityGrade		ProductGradeEnum	0..*	Grade of product being delivered (e.g., grade of oil).	common_domain_model:commodityGrade
AssetDeliveryPeriods		AssetDeliveryPeriods	Defines the periods of delivery, including the delivery profile.							
					profile		AssetDeliveryProfile	0..*	Defines the delivery profile of the asset, including the load type and the delivery intervals.	common_domain_model:profile
					startDate	AssetDeliveryPeriods_startDate	XSDDate	1..1	Delivery start date	common_domain_model:startDate
					endDate	AssetDeliveryPeriods_endDate	XSDDate	1..1	Delivery end date	common_domain_model:endDate
AssetDeliveryProfile		AssetDeliveryProfile	Defines the delivery profile of the asset, including the load type and the delivery intervals.							
					loadType		LoadTypeEnum	0..1	Identification of the delivery profile.	common_domain_model:loadType
					block		AssetDeliveryProfileBlock	0..*	Defines a delivery profile block, including start and end time, days of the week, duration, delivery capacity and price time interval quantity.	common_domain_model:block
					bankHolidaysTreatment		BankHolidayTreatmentEnum	0..1	Specifies whether the dates defined include holidays or not.	common_domain_model:bankHolidaysTreatment
AssetDeliveryProfileBlock		AssetDeliveryProfileBlock	Defines a delivery profile block, including start and end time, days of the week, duration, delivery capacity and price time interval quantity.							
					startTime		XSDTime	0..1	The start time of the delivery interval for each block or shape.	common_domain_model:startTime
					endTime		XSDTime	0..1	The end time of the delivery interval for each block or shape.	common_domain_model:endTime
